Town/ City,Latitude/ Easting,Longitude/ Northing
Bath,51.38,-2.36
Birmingham,52.48,-1.9025
Blackburn,53.748,-2.482
Blackpool,53.8142,-3.0503
Bolton,53.578,-2.429
Bournemouth,50.72,-1.88
Bradford,53.8,-1.75
Brighton and Hove,50.8429,-0.1313
Bristol,51.45,-2.5833
Cambridge,52.2053,0.1192
Canterbury,51.28,1.08
Carlisle,54.891,-2.944
Chelmsford,51.7361,0.4798
Cheltenham,51.9,-2.0667
Chester,53.19,-2.89
Chichester,50.8365,-0.7792
Coventry,52.4081,-1.5106
Croydon,51.3727,-0.1099
Derby,52.9167,-1.4667
Doncaster,53.515,-1.133
Durham,54.7761,-1.5733
Ely,52.3981,0.2622
Exeter,50.7167,-3.5333
Gateshead,54.95,-1.6
Gloucester,51.864,-2.2382
Hereford,52.0565,-2.716
Huddersfield,53.645,-1.7798
Ipswich,52.0594,1.1556
Kingston upon Hull,53.7444,-0.3325
Lancaster,54.047,-2.801
Leeds,53.7997,-1.5492
Leicester,52.6333,-1.1333
Lichfield,52.6835,-1.8265
Lincoln,53.2344,-0.5386
Liverpool,53.4,-2.9833
Luton,51.8783,-0.4147
London,51.5072,-0.1275
Manchester,53.4794,-2.2453
Middlesbrough,54.5767,-1.2355
Milton Keynes,52.04,-0.76
Newcastle-upon-Tyne,55.0077,-1.6578
Norwich,52.63,1.297
Nottingham,52.95,-1.15
Oxford,51.7519,-1.2578
Peterborough,52.5833,-0.25
Plymouth,50.3714,-4.1422
Poole,50.7167,-1.9833
Portsmouth,50.8058,-1.0872
Preston,53.759,-2.699
Reading,51.4542,-0.9731
Ripon,54.138,-1.524
Salford,53.483,-2.2931
Salisbury,51.074,-1.7936
Sheffield,53.3833,-1.4667
Slough,51.51,-0.59
Solihull,52.413,-1.778
Southampton,50.9,-1.4
Swindon,51.56,-1.78
St Albans,51.755,-0.336
Stoke-on-Trent,53,-2.1833
Sunderland,54.9061,-1.3811
Truro,50.26,-5.051
Wakefield,53.68,-1.49
Wells,51.209,-2.647
Westminster,51.4975,-0.1357
Winchester,51.0632,-1.308
Wolverhampton,52.5833,-2.1333
Worcester,52.5833,-2.1333
York,53.9583,-1.0803
Aberdeen,57.15,-2.11
Armagh,54.3503,-6.6528
Bangor,54.66,-5.67
Belfast,54.5964,-5.93
Cardiff,51.4833,-3.1833
Dundee,56.462,-2.9707
Edinburgh,55.953,-3.189
Glasgow,55.8609,-4.2514
Inverness,57.4781,-4.2233
Lisburn,54.5167,-6.0333
Londonderry,54.9966,-7.3086
Newport,51.5833,-3
Newry,54.1751,-6.3402
Perth,56.397,-3.437
St Asaph,53.2577,-3.4419
St David's,51.8812,-5.266
Stirling,56.1165,-3.9369
Swansea,51.6167,-3.95
Thurso,58.5936,-3.5221
Oban,56.4152,-5.4710
Ayr,55.4586,-4.6292
Ullapool,57.8954,-5.1613
Stornoway,58.2094,-6.3849
Greenock,55.9565,-4.7720
Berwick-upon-Tweed,55.7702,-2.0054
Dumfries,55.0709,-3.6051
Fort William,56.8198,-5.1052
