Location Code,Latitude/ Easting,Longitude/ Northing
Brynhyfryd Ruthin School,53.115798,-3.2966817
Clawddnewydd,52.777033,-3.3678892
Gwytherin,53.13914,-3.6776504
Moel Y Crio,53.21974,-3.2090409
Plas Pigot,53.168868,-3.5703166
St Asaph,53.264584,-3.451024
Llanrwst,53.139911,-3.8020403
Ysbyty Ifan,52.994328,-3.7735611
Five Fords,53.025858,-2.9535249
Llanfynydd,53.103689,-3.0905588
Loggerheads,53.149188,-3.1968299
Mold,53.172387,-3.1374823
Nant Y Ffrith,53.07142,-3.1305951
Northop,53.20943,-3.1254213
Bala Climate,52.907416,-3.5834893
Cynefail,52.963273,-3.7248509
Llyn Alwen,53.063499,-3.5599289
Pant Gwyn,52.828567,-3.7070105
Tryweryn Dam Pluvio and,52.945151,-3.6667397
Abersoch,52.812674,-4.5096962
Afon Adda,53.212105,-4.1423227
Afon Colwyn,53.0267,-4.1256637
Bethesda Quarry,53.168505,-4.0657308
Criccieth,52.918085,-4.2493954
Cwm Dyli,53.067313,-4.0113282
Llithfaen,52.954232,-4.4423451
Llyn Alaw,53.339472,-4.4409252
Llyn Cefni,53.268208,-4.3332764
Trearddur Bay,53.264115,-4.6131789
Corris - Aberllefenni,52.679265,-3.8125868
Llan Y Mawddwy,52.740274,-3.6463927
Llanbrynmair,52.648513,-3.5993058
Porthmadog,52.930315,-4.1223199
Rhyd Y Main,52.797615,-3.785006
Carno Reservoir,51.809656,-3.2167269
Cwmtillery,51.755288,-3.1299887
Machen Waterloo,51.589311,-3.1640454
Nelson,51.651951,-3.2967281
Rhiwbina Res,51.534456,-3.2272079
Rhymney Reservoir,52.253424,-3.6387904
Trevethin,51.718341,-3.0303118
Ty Fry,51.689408,-3.2075244
Llwynon Reservoir,51.793003,-3.4337095
Maerdy WTW,51.679039,-3.4881214
Nant Yr Ysfa,51.657853,-3.3975177
Pontsticill Upper,51.797889,-3.3662566
St Fagans,51.48559,-3.2672733
Trelewis,51.684092,-3.2987023
Tyn Y Waun Treherbert,51.681388,-3.5444086
Brecon,51.939018,-3.4015996
Collister Climate Station,51.577237,-2.8022824
Crai Reservoir,51.887655,-3.6229202
Cwmafon,51.757223,-3.060275
Lodge Farm Frog,51.615371,-2.9808499
Maes Y Rhiw,51.647988,-3.0549345
Storey Arms,51.872726,-3.4792559
Tal Y Maes,51.926712,-3.1276293
Upper Chapel No1,52.067549,-3.4469381
Usk Reservoir No2,51.946841,-3.69791
Ynysfro,51.594504,-3.0319675
Cogmoors,51.419039,-3.2095882
Cowbridge STW,51.453264,-3.4452457
Dyffryn Isaf Llantrisant,51.554746,-3.4032689
Rhiwsaeson STW,51.534929,-3.3377777
Abernant,52.101146,-3.61863
Bleddfa,52.301424,-3.1696106
Break Your Neck Falls,52.232077,-3.2010548
Bwlch y Sarnau,52.361103,-3.4251721
Ciloerwynt,52.253548,-3.6389414
Elan Village,52.274175,-3.563221
Llanbadarn Fynydd,52.390532,-3.3284839
Llanerch Yrfa,51.83357,-3.6817437
Llangurig,52.404212,-3.6068589
Llanyre,52.251331,-3.3906523
Pant Mawr raingauge,52.428262,-3.7013381
Rhyader STW,52.295116,-3.4987181
Tafalog raingauge,51.959281,-3.053554
Talgarth,52.004936,-3.236804
Tregoyd,52.033022,-3.1738457
Brynamman,51.819674,-3.8593012
Bryncoch,51.834186,-3.9601068
Bynea,51.663436,-4.1102684
Felinfoel,51.699999,-4.1489598
Garnswllt,51.770371,-4.0004888
Gorslas,51.811983,-4.0850684
Llangendeirne raingauge,51.800749,-4.2424719
Upper Lliw,51.735134,-3.939118
Abercregan,51.679626,-3.6546251
Crynant,51.720656,-3.7544117
Fforch Dwm,51.661741,-3.7060829
Hirwaun,51.749142,-3.5423442
Resolven,51.70922,-3.7023257
Blaenogwr,51.635761,-3.5252862
Brackla,51.504862,-3.5398578
Croeserw,51.644625,-3.6452708
Llety Brongu,51.581417,-3.6196189
Bolton Hill,51.760836,-5.0170933
Clarbeston Road,51.851752,-4.8887233
Llanfyrnach,51.949257,-4.591997
Maenclochog,51.933469,-4.812237
Mathry,51.942333,-5.0822954
Pentlepoir,51.720185,-4.7250113
Tavernspite,51.786916,-4.6363572
Tenby,51.67497,-4.7279362
Trelech,51.944699,-4.5026199
Bontgoch,52.456274,-3.939291
Bow Street,52.438418,-4.032387
Cwm Rheidol raingauge,52.396077,-3.899963
Dinas,52.43132,-3.8445516
Frongoch,52.361068,-3.8778697
Pwll Peiran,52.35856,-3.8033513
Birchgrove,51.675909,-3.8676233
Dan Yr Ogof,51.831788,-3.682432
Gowerton,51.653591,-4.0321915
Pitton,51.566161,-4.2683361
Southgate,51.570137,-4.0840957
Spyte,51.718996,-3.9246881
Trebanos,51.705465,-3.8649473
Victoria Park,51.61241,-3.962119
Ystradfellte,51.818137,-3.5388527
Ystradgynlais,51.76356,-3.7769427
Ystradowen,51.784139,-3.8212604
Cellan,52.122017,-4.0428775
Ferwig,52.112845,-4.6550283
Llechryd,52.062139,-4.5848751
Penuwch,52.246116,-4.0669889
Pontrydfendigaid No2,52.284198,-3.8660693
Rhos Ymryson,52.12733,-4.2502918
Abergorlech,51.98461,-4.0599328
Caio,52.039591,-3.9334614
Cynghordy,52.044935,-3.7468461
Llynyfan,51.89985,-3.7488421
Myddfai,51.952713,-3.7835835
Nant Y Maen,52.209938,-3.8141568
Pencader,52.005407,-4.2669858
Rhydargaeau,51.911631,-4.2592189
Ystradffin No1,52.109203,-3.7717883
Llantwit Major,51.414662,-3.5058489
